Ticker,Expiration(T),Type,Strike(K),Last Option Price (c),Stock Price (S),Moneyness (M = S/K)
AAPL,2024-06-28,Put,200,0.03,213,1.06625
AAPL,2024-06-28,Put,202.5,0.04,213,1.05308642
AAPL,2024-06-28,Put,205,0.07,213,1.040243902
AAPL,2024-06-28,Put,207.5,0.17,213,1.027710843
AAPL,2024-06-28,Put,210,0.45,213,1.01547619
AAPL,2024-06-28,Put,212.5,1.14,213,1.003529412
AAPL,2024-06-28,Put,215,2.5,213,0.991860465
AAPL,2024-06-28,Put,217.5,4.25,213,0.98045977
AAPL,2024-06-28,Put,220,7.05,213,0.969318182
AAPL,2024-06-28,Put,222.5,8.2,213,0.958426966
AAPL,2024-06-28,Put,225,11,213,0.947777778
AAPL,2024-06-28,Put,227.5,18.29,213,0.937362637
AAPL,2024-06-28,Put,230,16.75,213,0.927173913
AAPL,2024-06-28,Put,232.5,19.21,213,0.917204301
AAPL,2024-06-28,Put,235,21.7,213,0.907446809
AAPL,2024-06-28,Put,240,30.55,213,0.888541667
AAPL,2024-06-28,Put,245,34.83,213,0.870408163
AAPL,2024-06-28,Put,250,35.3,213,0.853
AAPL,2024-06-28,Put,255,38.35,213,0.83627451
AAPL,2024-06-28,Put,265,48.15,213,0.804716981
AAPL,2024-07-05,Call,100,96.8,213,2.1325
AAPL,2024-07-05,Call,110,104.15,213,1.938636364
AAPL,2024-07-05,Call,140,69.3,213,1.523214286
AAPL,2024-07-05,Call,145,65.84,213,1.470689655
AAPL,2024-07-05,Call,150,64,213,1.421666667
AAPL,2024-07-05,Call,155,41.55,213,1.375806452
AAPL,2024-07-05,Call,160,54.4,213,1.3328125
AAPL,2024-07-05,Call,165,46.96,213,1.292424242
AAPL,2024-07-05,Call,170,43.55,213,1.254411765
AAPL,2024-07-05,Call,175,38.4,213,1.218571429
AAPL,2024-07-05,Call,180,33.19,213,1.184722222
AAPL,2024-07-05,Call,185,28.57,213,1.152702703
AAPL,2024-07-05,Call,187.5,25.94,213,1.137333333
AAPL,2024-07-05,Call,190,23.65,213,1.122368421
AAPL,2024-07-05,Call,192.5,21,213,1.107792208
AAPL,2024-07-05,Call,195,18.6,213,1.093589744
AAPL,2024-07-05,Call,197.5,17.34,213,1.079746835
AAPL,2024-07-05,Call,200,13.75,213,1.06625
AAPL,2024-07-05,Call,202.5,11.54,213,1.05308642
AAPL,2024-07-05,Call,205,9.15,213,1.040243902
AAPL,2024-07-05,Call,207.5,6.95,213,1.027710843
AAPL,2024-07-05,Call,210,4.85,213,1.01547619
AAPL,2024-07-05,Call,212.5,3.15,213,1.003529412
AAPL,2024-07-05,Call,215,1.96,213,0.991860465
AAPL,2024-07-05,Call,217.5,1.14,213,0.98045977
AAPL,2024-07-05,Call,220,0.65,213,0.969318182
AAPL,2024-07-05,Call,222.5,0.4,213,0.958426966
AAPL,2024-07-05,Call,225,0.24,213,0.947777778
AAPL,2024-07-05,Call,227.5,0.18,213,0.937362637
AAPL,2024-07-05,Call,230,0.11,213,0.927173913
AAPL,2024-07-05,Call,232.5,0.09,213,0.917204301
AAPL,2024-07-05,Call,235,0.08,213,0.907446809
AAPL,2024-07-05,Call,237.5,0.07,213,0.897894737
AAPL,2024-07-05,Call,240,0.05,213,0.888541667
AAPL,2024-07-05,Call,245,0.04,213,0.870408163
AAPL,2024-07-05,Call,250,0.04,213,0.853
AAPL,2024-07-05,Call,255,0.02,213,0.83627451
AAPL,2024-07-05,Call,260,0.02,213,0.820192308
AAPL,2024-07-05,Call,265,0.01,213,0.804716981
AAPL,2024-07-05,Call,270,0.01,213,0.789814815
AAPL,2024-07-05,Call,275,0.01,213,0.775454545
AAPL,2024-07-05,Call,280,0.01,213,0.761607143
AAPL,2024-07-05,Call,285,0.01,213,0.748245614
AAPL,2024-07-05,Put,100,0.01,213,2.1325
AAPL,2024-07-05,Put,115,0.01,213,1.854347826
AAPL,2024-07-05,Put,120,0.01,213,1.777083333
AAPL,2024-07-05,Put,125,0.03,213,1.706
AAPL,2024-07-05,Put,135,0.03,213,1.57962963
AAPL,2024-07-05,Put,140,0.02,213,1.523214286
AAPL,2024-07-05,Put,145,0.02,213,1.470689655
AAPL,2024-07-05,Put,150,0.02,213,1.421666667
AAPL,2024-07-05,Put,155,0.01,213,1.375806452
AAPL,2024-07-05,Put,160,0.01,213,1.3328125
AAPL,2024-07-05,Put,165,0.01,213,1.292424242
AAPL,2024-07-05,Put,170,0.01,213,1.254411765
AAPL,2024-07-05,Put,175,0.01,213,1.218571429
AAPL,2024-07-05,Put,180,0.03,213,1.184722222
AAPL,2024-07-05,Put,185,0.04,213,1.152702703
AAPL,2024-07-05,Put,187.5,0.05,213,1.137333333
AAPL,2024-07-05,Put,190,0.07,213,1.122368421
AAPL,2024-07-05,Put,192.5,0.09,213,1.107792208
AAPL,2024-07-05,Put,195,0.11,213,1.093589744
AAPL,2024-07-05,Put,197.5,0.15,213,1.079746835
AAPL,2024-07-05,Put,200,0.19,213,1.06625
AAPL,2024-07-05,Put,202.5,0.26,213,1.05308642
AAPL,2024-07-05,Put,205,0.4,213,1.040243902
AAPL,2024-07-05,Put,207.5,0.68,213,1.027710843
AAPL,2024-07-05,Put,210,1.23,213,1.01547619
AAPL,2024-07-05,Put,212.5,2.07,213,1.003529412
AAPL,2024-07-05,Put,215,3.3,213,0.991860465
AAPL,2024-07-05,Put,217.5,5.01,213,0.98045977
AAPL,2024-07-05,Put,220,7.17,213,0.969318182
AAPL,2024-07-05,Put,222.5,9.4,213,0.958426966
AAPL,2024-07-05,Put,225,11.9,213,0.947777778
AAPL,2024-07-05,Put,227.5,13.85,213,0.937362637
AAPL,2024-07-05,Put,230,16.88,213,0.927173913
AAPL,2024-07-05,Put,232.5,19.45,213,0.917204301
AAPL,2024-07-05,Put,235,21.95,213,0.907446809
AAPL,2024-07-05,Put,240,22.85,213,0.888541667
AAPL,2024-07-05,Put,245,26.51,213,0.870408163
AAPL,2024-07-05,Put,250,39.7,213,0.853
AAPL,2024-07-05,Put,260,47.8,213,0.820192308
AAPL,2024-07-05,Put,265,48.8,213,0.804716981
AAPL,2024-07-12,Call,100,109.97,213,2.1325
AAPL,2024-07-12,Call,120,91.95,213,1.777083333
AAPL,2024-07-12,Call,130,84.2,213,1.640384615
AAPL,2024-07-12,Call,140,57.45,213,1.523214286
AAPL,2024-07-12,Call,145,72.26,213,1.470689655
AAPL,2024-07-12,Call,150,63.76,213,1.421666667
AAPL,2024-07-12,Call,155,40.25,213,1.375806452
AAPL,2024-07-12,Call,160,52.33,213,1.3328125
AAPL,2024-07-12,Call,165,47.6,213,1.292424242
AAPL,2024-07-12,Call,170,43.58,213,1.254411765
AAPL,2024-07-12,Call,175,38.75,213,1.218571429
AAPL,2024-07-12,Call,180,33.7,213,1.184722222
AAPL,2024-07-12,Call,185,29.07,213,1.152702703
AAPL,2024-07-12,Call,190,23.87,213,1.122368421
AAPL,2024-07-12,Call,195,19.31,213,1.093589744
AAPL,2024-07-12,Call,200,14.07,213,1.06625
AAPL,2024-07-12,Call,205,9.74,213,1.040243902
AAPL,2024-07-12,Call,210,5.9,213,1.01547619
AAPL,2024-07-12,Call,215,3,213,0.991860465
AAPL,2024-07-12,Call,220,1.42,213,0.969318182
AAPL,2024-07-12,Call,225,0.62,213,0.947777778
AAPL,2024-07-12,Call,230,0.31,213,0.927173913
AAPL,2024-07-12,Call,235,0.18,213,0.907446809
AAPL,2024-07-12,Call,240,0.12,213,0.888541667
AAPL,2024-07-12,Call,245,0.11,213,0.870408163
AAPL,2024-07-12,Call,250,0.06,213,0.853
AAPL,2024-07-12,Call,255,0.06,213,0.83627451
AAPL,2024-07-12,Call,260,0.03,213,0.820192308
AAPL,2024-07-12,Call,265,0.03,213,0.804716981
AAPL,2024-07-12,Call,270,0.04,213,0.789814815
AAPL,2024-07-12,Call,275,0.04,213,0.775454545
AAPL,2024-07-12,Call,280,0.02,213,0.761607143
AAPL,2024-07-12,Call,285,0.02,213,0.748245614
AAPL,2024-07-12,Put,100,0.01,213,2.1325
AAPL,2024-07-12,Put,110,0.02,213,1.938636364
AAPL,2024-07-12,Put,115,0.01,213,1.854347826
AAPL,2024-07-12,Put,120,0.01,213,1.777083333
AAPL,2024-07-12,Put,125,0.02,213,1.706
AAPL,2024-07-12,Put,135,0.03,213,1.57962963
AAPL,2024-07-12,Put,140,0.02,213,1.523214286
AAPL,2024-07-12,Put,145,0.05,213,1.470689655
AAPL,2024-07-12,Put,150,0.04,213,1.421666667
AAPL,2024-07-12,Put,155,0.03,213,1.375806452
AAPL,2024-07-12,Put,160,0.02,213,1.3328125
AAPL,2024-07-12,Put,165,0.03,213,1.292424242
AAPL,2024-07-12,Put,170,0.04,213,1.254411765
AAPL,2024-07-12,Put,175,0.04,213,1.218571429
AAPL,2024-07-12,Put,180,0.06,213,1.184722222
AAPL,2024-07-12,Put,185,0.09,213,1.152702703
AAPL,2024-07-12,Put,190,0.13,213,1.122368421
AAPL,2024-07-12,Put,195,0.2,213,1.093589744
AAPL,2024-07-12,Put,200,0.38,213,1.06625
AAPL,2024-07-12,Put,205,0.81,213,1.040243902
AAPL,2024-07-12,Put,210,2,213,1.01547619
AAPL,2024-07-12,Put,215,4.1,213,0.991860465
AAPL,2024-07-12,Put,220,7.77,213,0.969318182
AAPL,2024-07-12,Put,225,11.85,213,0.947777778
AAPL,2024-07-12,Put,230,15.85,213,0.927173913
AAPL,2024-07-12,Put,235,25.49,213,0.907446809
AAPL,2024-07-12,Put,240,29.8,213,0.888541667
AAPL,2024-07-12,Put,245,27.6,213,0.870408163
AAPL,2024-07-12,Put,250,53.65,213,0.853
AAPL,2024-07-19,Call,5,204.58,213,42.65
AAPL,2024-07-19,Call,10,169.81,213,21.325
AAPL,2024-07-19,Call,15,179.2,213,14.21666667
AAPL,2024-07-19,Call,25,155,213,8.53
AAPL,2024-07-19,Call,30,162.45,213,7.108333333
AAPL,2024-07-19,Call,35,156.48,213,6.092857143
AAPL,2024-07-19,Call,40,170.65,213,5.33125
AAPL,2024-07-19,Call,50,160,213,4.265
AAPL,2024-07-19,Call,85,133.12,213,2.508823529
AAPL,2024-07-19,Call,90,120.2,213,2.369444444
AAPL,2024-07-19,Call,95,120.76,213,2.244736842
AAPL,2024-07-19,Call,100,109.9,213,2.1325
AAPL,2024-07-19,Call,105,81.2,213,2.030952381
AAPL,2024-07-19,Call,110,101.16,213,1.938636364
AAPL,2024-07-19,Call,115,98.75,213,1.854347826
AAPL,2024-07-19,Call,120,91.2,213,1.777083333
AAPL,2024-07-19,Call,125,88.12,213,1.706
AAPL,2024-07-19,Call,130,83.74,213,1.640384615
AAPL,2024-07-19,Call,135,78.22,213,1.57962963
AAPL,2024-07-19,Call,140,73.5,213,1.523214286
AAPL,2024-07-19,Call,145,69.9,213,1.470689655
AAPL,2024-07-19,Call,150,65,213,1.421666667
AAPL,2024-07-19,Call,155,59.15,213,1.375806452
AAPL,2024-07-19,Call,160,53.8,213,1.3328125
AAPL,2024-07-19,Call,165,49.4,213,1.292424242
AAPL,2024-07-19,Call,170,45.25,213,1.254411765
AAPL,2024-07-19,Call,175,39.2,213,1.218571429
AAPL,2024-07-19,Call,180,34.1,213,1.184722222
AAPL,2024-07-19,Call,185,29.07,213,1.152702703
AAPL,2024-07-19,Call,190,24.25,213,1.122368421
AAPL,2024-07-19,Call,195,19.08,213,1.093589744
AAPL,2024-07-19,Call,200,14.8,213,1.06625
AAPL,2024-07-19,Call,205,10.41,213,1.040243902
AAPL,2024-07-19,Call,210,6.65,213,1.01547619
AAPL,2024-07-19,Call,215,3.8,213,0.991860465
AAPL,2024-07-19,Call,220,2.01,213,0.969318182
AAPL,2024-07-19,Call,225,1.03,213,0.947777778
AAPL,2024-07-19,Call,230,0.56,213,0.927173913
AAPL,2024-07-19,Call,235,0.32,213,0.907446809
AAPL,2024-07-19,Call,240,0.21,213,0.888541667
AAPL,2024-07-19,Call,245,0.15,213,0.870408163
AAPL,2024-07-19,Call,250,0.12,213,0.853
AAPL,2024-07-19,Call,255,0.08,213,0.83627451
AAPL,2024-07-19,Call,260,0.06,213,0.820192308
AAPL,2024-07-19,Call,265,0.06,213,0.804716981
AAPL,2024-07-19,Call,270,0.05,213,0.789814815
AAPL,2024-07-19,Call,275,0.04,213,0.775454545
AAPL,2024-07-19,Call,280,0.04,213,0.761607143
AAPL,2024-07-19,Call,285,0.02,213,0.748245614
AAPL,2024-07-19,Call,290,0.01,213,0.735344828
AAPL,2024-07-19,Call,295,0.02,213,0.722881356
AAPL,2024-07-19,Call,300,0.02,213,0.710833333
AAPL,2024-07-19,Put,10,0.01,213,21.325
AAPL,2024-07-19,Put,15,0.01,213,14.21666667
AAPL,2024-07-19,Put,20,0.01,213,10.6625
AAPL,2024-07-19,Put,25,0.01,213,8.53
AAPL,2024-07-19,Put,35,0.01,213,6.092857143
AAPL,2024-07-19,Put,40,0.01,213,5.33125
AAPL,2024-07-19,Put,50,0.01,213,4.265
AAPL,2024-07-19,Put,85,0.01,213,2.508823529
AAPL,2024-07-19,Put,90,0.01,213,2.369444444
AAPL,2024-07-19,Put,95,0.01,213,2.244736842
AAPL,2024-07-19,Put,100,0.01,213,2.1325
AAPL,2024-07-19,Put,105,0.02,213,2.030952381
AAPL,2024-07-19,Put,110,0.01,213,1.938636364
AAPL,2024-07-19,Put,115,0.01,213,1.854347826
AAPL,2024-07-19,Put,120,0.01,213,1.777083333
AAPL,2024-07-19,Put,125,0.01,213,1.706
AAPL,2024-07-19,Put,130,0.01,213,1.640384615
AAPL,2024-07-19,Put,135,0.01,213,1.57962963
AAPL,2024-07-19,Put,140,0.01,213,1.523214286
AAPL,2024-07-19,Put,145,0.01,213,1.470689655
AAPL,2024-07-19,Put,150,0.03,213,1.421666667
AAPL,2024-07-19,Put,155,0.03,213,1.375806452
AAPL,2024-07-19,Put,160,0.04,213,1.3328125
AAPL,2024-07-19,Put,165,0.05,213,1.292424242
AAPL,2024-07-19,Put,170,0.07,213,1.254411765
AAPL,2024-07-19,Put,175,0.09,213,1.218571429
AAPL,2024-07-19,Put,180,0.11,213,1.184722222
AAPL,2024-07-19,Put,185,0.15,213,1.152702703
AAPL,2024-07-19,Put,190,0.22,213,1.122368421
AAPL,2024-07-19,Put,195,0.34,213,1.093589744
AAPL,2024-07-19,Put,200,0.61,213,1.06625
AAPL,2024-07-19,Put,205,1.24,213,1.040243902
AAPL,2024-07-19,Put,210,2.52,213,1.01547619
AAPL,2024-07-19,Put,215,4.8,213,0.991860465
AAPL,2024-07-19,Put,220,8.24,213,0.969318182
AAPL,2024-07-19,Put,225,12.35,213,0.947777778
AAPL,2024-07-19,Put,230,16.86,213,0.927173913
AAPL,2024-07-19,Put,235,21,213,0.907446809
AAPL,2024-07-19,Put,240,26.68,213,0.888541667
AAPL,2024-07-19,Put,245,36.65,213,0.870408163
AAPL,2024-07-19,Put,250,41.67,213,0.853
AAPL,2024-07-19,Put,255,42.73,213,0.83627451
AAPL,2024-07-19,Put,260,47.6,213,0.820192308
AAPL,2024-07-19,Put,265,55.34,213,0.804716981
AAPL,2024-07-19,Put,280,110.57,213,0.761607143
AAPL,2024-07-19,Put,300,82.74,213,0.710833333
AAPL,2024-07-26,Call,100,118.76,213,2.1325
AAPL,2024-07-26,Call,130,83.92,213,1.640384615
AAPL,2024-07-26,Call,140,75.52,213,1.523214286
AAPL,2024-07-26,Call,150,64.25,213,1.421666667
AAPL,2024-07-26,Call,155,59,213,1.375806452
AAPL,2024-07-26,Call,160,51.38,213,1.3328125
AAPL,2024-07-26,Call,165,48.05,213,1.292424242
AAPL,2024-07-26,Call,170,40.65,213,1.254411765
AAPL,2024-07-26,Call,175,39.28,213,1.218571429
AAPL,2024-07-26,Call,180,34.6,213,1.184722222
AAPL,2024-07-26,Call,185,29.54,213,1.152702703
AAPL,2024-07-26,Call,190,25.6,213,1.122368421
AAPL,2024-07-26,Call,195,19.5,213,1.093589744
AAPL,2024-07-26,Call,200,15.45,213,1.06625
AAPL,2024-07-26,Call,205,11.04,213,1.040243902
AAPL,2024-07-26,Call,210,7.25,213,1.01547619
AAPL,2024-07-26,Call,215,4.56,213,0.991860465
AAPL,2024-07-26,Call,220,2.55,213,0.969318182
AAPL,2024-07-26,Call,225,1.46,213,0.947777778
AAPL,2024-07-26,Call,230,0.82,213,0.927173913
AAPL,2024-07-26,Call,235,0.48,213,0.907446809
AAPL,2024-07-26,Call,240,0.32,213,0.888541667
AAPL,2024-07-26,Call,245,0.24,213,0.870408163
AAPL,2024-07-26,Call,250,0.18,213,0.853
AAPL,2024-07-26,Call,255,0.14,213,0.83627451
AAPL,2024-07-26,Call,260,0.11,213,0.820192308
AAPL,2024-07-26,Call,265,0.05,213,0.804716981
AAPL,2024-07-26,Call,270,0.05,213,0.789814815
AAPL,2024-07-26,Call,275,0.07,213,0.775454545
AAPL,2024-07-26,Call,280,0.03,213,0.761607143
AAPL,2024-07-26,Call,285,0.05,213,0.748245614
AAPL,2024-07-26,Put,100,0.06,213,2.1325
AAPL,2024-07-26,Put,110,0.06,213,1.938636364
AAPL,2024-07-26,Put,135,0.03,213,1.57962963
AAPL,2024-07-26,Put,140,0.21,213,1.523214286
AAPL,2024-07-26,Put,145,0.04,213,1.470689655
AAPL,2024-07-26,Put,150,0.04,213,1.421666667
AAPL,2024-07-26,Put,155,0.06,213,1.375806452
AAPL,2024-07-26,Put,160,0.05,213,1.3328125
AAPL,2024-07-26,Put,165,0.04,213,1.292424242
AAPL,2024-07-26,Put,170,0.1,213,1.254411765
AAPL,2024-07-26,Put,175,0.1,213,1.218571429
AAPL,2024-07-26,Put,180,0.15,213,1.184722222
AAPL,2024-07-26,Put,185,0.22,213,1.152702703
AAPL,2024-07-26,Put,190,0.31,213,1.122368421
AAPL,2024-07-26,Put,195,0.47,213,1.093589744
AAPL,2024-07-26,Put,200,0.84,213,1.06625
AAPL,2024-07-26,Put,205,1.61,213,1.040243902
AAPL,2024-07-26,Put,210,2.94,213,1.01547619
AAPL,2024-07-26,Put,215,5.25,213,0.991860465
AAPL,2024-07-26,Put,220,8.05,213,0.969318182
AAPL,2024-07-26,Put,225,11.52,213,0.947777778
AAPL,2024-07-26,Put,230,16.75,213,0.927173913
AAPL,2024-07-26,Put,235,24.44,213,0.907446809
AAPL,2024-07-26,Put,240,29,213,0.888541667
AAPL,2024-07-26,Put,250,40.75,213,0.853
AAPL,2024-07-26,Put,255,45.26,213,0.83627451
AAPL,2024-07-26,Put,260,50.28,213,0.820192308
AAPL,2024-08-02,Call,145,72.48,213,1.470689655
AAPL,2024-08-02,Call,160,53.73,213,1.3328125
AAPL,2024-08-02,Call,175,38.69,213,1.218571429
AAPL,2024-08-02,Call,180,34.8,213,1.184722222
AAPL,2024-08-02,Call,185,28.45,213,1.152702703
AAPL,2024-08-02,Call,190,26.11,213,1.122368421
AAPL,2024-08-02,Call,195,21.55,213,1.093589744
AAPL,2024-08-02,Call,200,16.3,213,1.06625
AAPL,2024-08-02,Call,205,12.38,213,1.040243902
AAPL,2024-08-02,Call,210,8.93,213,1.01547619
AAPL,2024-08-02,Call,215,6.25,213,0.991860465
AAPL,2024-08-02,Call,220,4.21,213,0.969318182
AAPL,2024-08-02,Call,225,2.69,213,0.947777778
AAPL,2024-08-02,Call,230,1.76,213,0.927173913
AAPL,2024-08-02,Call,235,1.16,213,0.907446809
AAPL,2024-08-02,Call,240,0.78,213,0.888541667
AAPL,2024-08-02,Call,245,0.59,213,0.870408163
AAPL,2024-08-02,Call,250,0.41,213,0.853
AAPL,2024-08-02,Call,255,0.3,213,0.83627451
AAPL,2024-08-02,Call,260,0.25,213,0.820192308
AAPL,2024-08-02,Call,265,0.2,213,0.804716981
AAPL,2024-08-02,Call,270,0.18,213,0.789814815
AAPL,2024-08-02,Call,275,0.12,213,0.775454545
AAPL,2024-08-02,Call,280,0.15,213,0.761607143
AAPL,2024-08-02,Call,285,0.08,213,0.748245614
AAPL,2024-08-02,Put,100,0.02,213,2.1325
AAPL,2024-08-02,Put,120,0.05,213,1.777083333
AAPL,2024-08-02,Put,135,0.05,213,1.57962963
AAPL,2024-08-02,Put,145,0.1,213,1.470689655
AAPL,2024-08-02,Put,150,0.28,213,1.421666667
AAPL,2024-08-02,Put,160,0.07,213,1.3328125
AAPL,2024-08-02,Put,165,0.13,213,1.292424242
AAPL,2024-08-02,Put,170,0.13,213,1.254411765
AAPL,2024-08-02,Put,175,0.19,213,1.218571429
AAPL,2024-08-02,Put,180,0.27,213,1.184722222
AAPL,2024-08-02,Put,185,0.4,213,1.152702703
AAPL,2024-08-02,Put,190,0.64,213,1.122368421
AAPL,2024-08-02,Put,195,1,213,1.093589744
AAPL,2024-08-02,Put,200,1.68,213,1.06625
AAPL,2024-08-02,Put,205,2.86,213,1.040243902
AAPL,2024-08-02,Put,210,4.39,213,1.01547619
AAPL,2024-08-02,Put,215,6.86,213,0.991860465
AAPL,2024-08-02,Put,220,8.9,213,0.969318182
AAPL,2024-08-02,Put,225,12.38,213,0.947777778
AAPL,2024-08-02,Put,230,19.37,213,0.927173913
AAPL,2024-08-02,Put,235,23.06,213,0.907446809
AAPL,2024-08-02,Put,240,29.99,213,0.888541667
AAPL,2024-08-02,Put,245,29.7,213,0.870408163
AAPL,2024-08-16,Call,5,205.41,213,42.65
AAPL,2024-08-16,Call,50,164.65,213,4.265
AAPL,2024-08-16,Call,80,123.74,213,2.665625
AAPL,2024-08-16,Call,85,111.38,213,2.508823529
AAPL,2024-08-16,Call,90,122.25,213,2.369444444
AAPL,2024-08-16,Call,95,113.8,213,2.244736842
AAPL,2024-08-16,Call,100,111.19,213,2.1325
AAPL,2024-08-16,Call,105,67.45,213,2.030952381
AAPL,2024-08-16,Call,110,91.25,213,1.938636364
AAPL,2024-08-16,Call,115,105.3,213,1.854347826
AAPL,2024-08-16,Call,120,91.35,213,1.777083333
AAPL,2024-08-16,Call,125,89.9,213,1.706
AAPL,2024-08-16,Call,130,85.15,213,1.640384615
AAPL,2024-08-16,Call,135,76.3,213,1.57962963
AAPL,2024-08-16,Call,140,75.5,213,1.523214286
AAPL,2024-08-16,Call,145,68.2,213,1.470689655
AAPL,2024-08-16,Call,150,63.87,213,1.421666667
AAPL,2024-08-16,Call,155,59.5,213,1.375806452
AAPL,2024-08-16,Call,160,54.3,213,1.3328125
AAPL,2024-08-16,Call,165,49.53,213,1.292424242
AAPL,2024-08-16,Call,170,45.91,213,1.254411765
AAPL,2024-08-16,Call,175,40.3,213,1.218571429
AAPL,2024-08-16,Call,180,34.65,213,1.184722222
AAPL,2024-08-16,Call,185,30.42,213,1.152702703
AAPL,2024-08-16,Call,190,25.7,213,1.122368421
AAPL,2024-08-16,Call,195,21.12,213,1.093589744
AAPL,2024-08-16,Call,200,17.15,213,1.06625
AAPL,2024-08-16,Call,205,13.04,213,1.040243902
AAPL,2024-08-16,Call,210,9.99,213,1.01547619
AAPL,2024-08-16,Call,215,7.15,213,0.991860465
AAPL,2024-08-16,Call,220,5.09,213,0.969318182
AAPL,2024-08-16,Call,225,3.45,213,0.947777778
AAPL,2024-08-16,Call,230,2.37,213,0.927173913
AAPL,2024-08-16,Call,235,1.64,213,0.907446809
AAPL,2024-08-16,Call,240,1.12,213,0.888541667
AAPL,2024-08-16,Call,245,0.82,213,0.870408163
AAPL,2024-08-16,Call,250,0.61,213,0.853
AAPL,2024-08-16,Call,255,0.45,213,0.83627451
AAPL,2024-08-16,Call,260,0.36,213,0.820192308
AAPL,2024-08-16,Call,270,0.23,213,0.789814815
AAPL,2024-08-16,Call,275,0.19,213,0.775454545
